functional_genre,genre_confidence,speech_act,actual_cta,narrative_structure,image_role,image_caption_relation,target_audience,appeal_type,species_mentioned,register_tone,notes,post_id,vq_aesthetic,vq_production_effort,vq_human_presence,vq_people_role,vq_visual_species,vq_colour_mood,vq_on_image_text_amount,missed_visual_flag,missed_visual_why
responsible-viewing guide,high,inform,Swipe for some best practices for ethical elephant watching,explainer/list,text-carrier,adds-info,tourists|general-public,informational|social-normative,elephant,warm-personal,"Branded carousel cover slide for EHRA (Elephant-Human Relations Aid). Photo shows two loaded expedition Land Cruisers (Namibian plate N-17096-S) on a desert track in mountainous terrain; no elephants are visible despite the elephant-watching topic. Function is educational behavior-guidance for wildlife tourists: caption follows a problem-solution arc (crowding/vehicles overwhelm vulnerable elephants and high-mortality calves -> keep respectful distance) and serves as the lead-in to a swipe-through best-practices list. Ethical/normative undertone ('ethical elephant watching', 'we protect... theirs') but the primary act is to inform. Image carries the title and logo over a contextually relevant background rather than merely repeating the caption.",DQ_nfCKDKZ8,professional,high,none,"no clear human subject; possibly an occupant's arm resting out the front vehicle window, incidental",,"warm desert earth tones (ochre dirt, dusty red rock) under a pale washed-out blue sky; calm, arid, sun-bleached",moderate,False,"This is a carousel cover/title card; the caption makes no specific showable claim (no number, place, or before/after) that the cover image ignores. The absence of an elephant is a defensible design choice, and the 'swipe' content presumably carries the substantive slides. The vehicles shown are in fact relevant, since the caption names surrounding herds with vehicles as the core risk."
clean-up campaign recap,high,inform,Let's continue working hand in hand to protect our coastlines and conserve our natural heritage,showcase,symbolic,adds-info,local-community|general-public|supporters,social-normative|informational|emotional,,institutional-formal,"A recap/awareness post about a past multi-agency (Ministry of Environment, Namibian Police, WWF Namibia) coastal clean-up. Primary function is informing/reporting the event and reinforcing an anti-litter social norm, with a soft aspirational close rather than a concrete ask; the closing 'let's continue working hand in hand' is a collective rallying line, not a directed CTA. The image is a symbolic stand-in (a real-world NO LITTERING sign at the coast) rather than documentation of the actual clean-up. No specific species named (only generic 'marine life'/'wildlife') and none visible in frame.",DR_9tu4DEa9,competent,low,group,"distant, incidental figures on the beach (beachgoers/possibly participants), tiny in background",,"muted, overcast grey sky over beige/tan sand; cool, desaturated coastal palette",minimal,True,"The caption reports a concrete, showable event: volunteers collecting litter along named beaches (Independence Beach through Langstrand to the DRC settlement). The image ignores this and shows only a static NO LITTERING sign, no volunteers, no collected litter, no before/after of the cleaned coast."
safari destination showcase,high,inform,none,explainer/list,illustrative,adds-info,tourists|general-public,aesthetic|informational,elephant,promotional,"POV still from a game-drive vehicle: the framing foregrounds the safari experience (vehicle chassis and seated guests) with one dusty elephant at a distant waterhole. Functions as a tourism/experience showcase wrapped around a short ecological explainer about Etosha's waterhole-dependent wildlife. The rhetorical opener ('How's this for a waterhole encounter?') is engagement bait, not a true CTA. Likely a lodge/safari-operator account rather than a pure conservation NGO.",DSMjgNigije,competent,medium,group,"tourists/guests seated on a game-drive safari vehicle, watching the animal",African elephant,"dry, sunlit bushveld in muted warm earth tones and dusty beige with faded green scrub",none,True,"Caption claims Etosha lets you observe elephants 'in large numbers,' but the frame shows only a single elephant at the waterhole, so the specific numerical claim is not shown."
community outreach update,high,inform,none,showcase,data-viz,adds-info,"supporters, general-public, local-community","informational, emotional",,warm-personal,"Photo of a handwritten 'STATISTICS' whiteboard tracking a 'Feeding Programe' and 'outreach' by date with A/C/T (adult/child/total) counts, March–May 2025. Lifeline Clinic reads as a conservancy-linked community health service (fits the CBNRM community-benefit context), not wildlife content. The post documents operational impact and staff dedication rather than persuading; no call to action. The image literally is 'the numbers on a whiteboard' the caption points beyond, so it adds concrete data while withholding the human/field imagery the caption evokes.",DTSgWRoloBs,competent,low,none,none,,"neutral clinical white with red, blue and black marker on a beige wall",text-dominant,True,"The caption promises 'a glimpse into regular community outreaches and the dedication behind every visit,' a showable human scene (fieldwork, patients, staff), yet the image only shows an administrative whiteboard of tallies. It delivers the numbers rather than the visits/people the text foregrounds."
event documentation,high,inform,none,showcase,illustrative,adds-info,peers/researchers|supporters|general-public,informational,,institutional-formal,"Candid, unstaged phone snapshot documenting a conservation event: the NIMPA+ Project ('Strengthening Marine & Coastal Conservation in Namibia') symposium, with a Namibian flag and a presentation slide of penguins visible. Function is event coverage / institutional presence-signalling to peers and supporters rather than persuasion; no call to action. Species appear only on the projected slide (penguins), not as photographed subjects; the ocean/marine theme of the caption is conveyed contextually via banners and screen rather than by the framed subject.",DU-z_9ziHyK,amateur,low,crowd,a standing speaker at a podium addressing a seated audience of symposium attendees working on laptops,African penguin (on presentation screen),"muted, cool office-interior tones (grey ceiling, blue chairs), flat indoor lighting",minimal,False,"The caption ('Ocean in Focus Symposium') makes no specific, showable numeric/place/before-after claim, and the photo already documents the actual event in progress."
awareness-day observance,high,commemorate,Follow @soa_namibia for more on marine conservation and awareness.,none,text-carrier,adds-info,"general-public, youth, supporters","social-normative, informational, emotional",marine mammals,institutional-formal,"Canva-style awareness card for World Marine Mammal Protection Day: a blue-panel headline plus a short action message ('reduce pollution, act sustainably, spread awareness') alongside three stock photos of marine mammals. Branded to NCE (Namibian Chamber of Environment) and NYCE (Namibian Youth Chamber of Environment) via bottom logos, yet the caption is written in @soa_namibia's voice and directs followers there, so this is cross-org / reshared awareness content rather than a single account's own post. One seal photo carries a 'dreamstime' stock watermark, slightly lowering polish. Function is calendar-day commemoration + light behavioural nudge, not persuasion toward a specific action; the only concrete ask is the follow prompt.",DU7v1hOilMn,competent,medium,none,none,orca / killer whale; Cape fur seal; bottlenose dolphin,cool oceanic blue background with orange accent headline; bright natural stock photography,moderate,False,"The caption makes no specific numeric, place, or before/after claim; it speaks generically of 'marine mammals'. The image actually over-delivers by showing three concrete species (orcas, Cape fur seals, dolphins) the caption never names."
educational fact post,high,inform,none,explainer/list,illustrative,adds-info,general-public,informational,elephant,warm-personal,"Classic 'Did you know?' edutainment card: a shareable cognition fact (memory, tool use, self-medication, 6.5 kg brain, empathy/grief) paired with a striking front-on close-up of an African elephant in golden light. Photo is credited to another account (@conservation.diaries), so it is curated rather than original field content. Function is knowledge-sharing/engagement, not persuasion or fundraising; no ask of any kind.",DUVa739DPUG,professional,high,none,none,African elephant,warm golden-hour amber tones with soft bokeh background,none,False,"The caption's claims are about cognition and brain weight, which are not directly showable; a strong close-up portrait of the animal is an appropriate and sufficient pairing."
feel-good wildlife post,high,promote,none,problem-solution,illustrative,adds-info,general-public; supporters; tourists,emotional; aesthetic,elephant,warm-personal,"Heartwarming 'Monday cuteness' engagement post that doubles as soft promotion of the TimBila Nature Reserve / Naankuse (brand name + www.naankuse.com, no imperative ask). Emotional hook (cute baby elephants) frames an embedded conservation success arc: parents removed from human-wildlife conflict, translocated, now breeding safely. Image shows two juvenile African elephants nuzzling/playing in grassland; no people, no on-image text. Primary appeal is emotional/aesthetic rather than persuasion toward a specific behaviour.",DUi-O5xmKYK,professional,high,none,none,elephant,lush green and earthy natural tones with soft purple wildflower accents,none,False,"The image directly depicts the cute baby elephants and their natural grassland habitat, which is the caption's central, showable subject. The one abstract figure (35,000 hectares) is not the emotional focus and its omission is not a meaningful miss for a heartwarming close-up."
brand mood vignette,high,narrate,none,showcase,illustrative,adds-info,tourists|general-public|supporters,aesthetic|emotional,elephant,reverent,"Vertical (Reel/Story-format) wildlife still of a single African elephant seen from behind, walking away down a dirt track framed by bush and grass. Functionally this is atmospheric brand storytelling for Ongava (a Namibian lodge/reserve): it evokes a low-impact, 'leave only footprints' ethos rather than making an argument or asking for anything. No CTA, no on-image text, no people. The rear-view walking-away composition literally embodies the caption's 'tread softly / each step measured' metaphor, giving light identity/eco-tourism promotion under a reverent, poetic register.",DV8V_PjFMlT,competent,medium,none,none,African elephant,"soft muted naturals; dusty track and green scrub under a pale blue sky, calm and contemplative",none,False,"The caption is atmospheric and makes no specific showable claim (no number, no before/after). Its one place reference, Ongava, is plausibly the setting shown. The image directly illustrates the 'each step measured' metaphor with an elephant walking a track, so nothing concrete is left unshown."
news repost/awareness,high,inform,Read the full article: @thenamibian,explainer/list,text-carrier,repeats,general-public|supporters|policymakers,informational|economic,"fish (commercial fish stocks, unspecified)",institutional-formal,"News-style graphic card from Ocean Conservation Namibia (OCN) repackaging a State of the Nation Address admission about declining commercial fish stocks. Functions as awareness/agenda-setting rather than persuasion: a red 'NEWS' tag, bold headline, and subhead sit over a stock-style underwater fish photo with the OCN logo top-right. The image is a branded text-carrier that largely restates the headline; the underwater fish are illustrative of 'fish stocks' but generic and not tied to Namibia's specific commercial species. Caption adds economic framing (4.1% GDP, 21,000 jobs) and a light conservation call ('time to strengthen our conservation efforts') plus attribution/credit to @thenamibian. The only concrete ask is to read the source article.",DW8ZEQcGmuw,professional,medium,none,none,"schooling fish (likely jacks/trevally, silvery pelagic species)","cool blue-teal underwater tones fading to dark, sober",text-dominant,False,"The caption's central factual claim (declining fish stocks) is a trend, not a showable before/after or single number the image could depict; the underwater school of fish plus the 'NEWS'/'President admits fish stocks are declining' text card adequately signals the subject. The GDP/jobs figures are secondary and not naturally visualisable in a single photo."
