id,age_group,gender,english_prof
11,25–29,Man,Fluent / Native
13,25–29,Man,Fluent / Native
15,18–24,Woman,Advanced
17,25–29,Man,Intermediate
18,25–29,Man,Fluent / Native
19,25–29,Woman,Fluent / Native
21,25–29,Man,Fluent / Native
22,36 or older,Man,Advanced
23,25–29,Man,Fluent / Native
24,25–29,Woman,Advanced
25,25–29,Man,Advanced
34,18–24,Woman,Advanced
37,18–24,Woman,Fluent / Native
40,36 or older,Woman,Advanced
43,25–29,Man,Advanced
45,25–29,Man,Fluent / Native
46,18–24,Woman,Advanced
48,25–29,Man,Intermediate
50,25–29,Man,Intermediate
51,18–24,Woman,Intermediate
53,25–29,Woman,Advanced
55,18–24,Woman,Advanced
56,36 or older,Woman,Fluent / Native
57,25–29,Woman,Advanced
