# multimodal LLM TEST · model=sonnet(vision) · display-image only · 920 posts · 917 with image
Post_ID;Post_Format;image_ok;MANUAL_Empathy;MANUAL_Threat;MANUAL_Efficacy;MANUAL_Collective_ID;MANUAL_Normative;MANUAL_Moral;MANUAL_Economic;MANUAL_Scientific;MANUAL_Youth_Addressed;MANUAL_Interactivity;MANUAL_Emotional_Valence;MANUAL_Story_Structure;MANUAL_Primary_CTA;MANUAL_Primary_Topic;MANUAL_Language;MANUAL_Youth_Style;MANUAL_Protagonist;MANUAL_Onscreen_Text;MANUAL_Data_Visual
DWbxil5DMTW;Video;yes;0;0;1;1;1;1;0;0;0;0;Hope;Solution;Event;Climate;English;0;0;1;0
DXY7VTPjMrk;Image;no;;;;;;;;;;;;;;;;;;;
DWg1_QPjL0G;Image;no;;;;;;;;;;;;;;;;;;;
DXbu79iDCnX;Image;yes;0;0;1;1;0;1;0;0;0;0;Hope;None;None;Climate;English;0;0;0;0
DWjdIZtjHgI;Carousel;yes;0;0;1;0;0;0;0;1;0;0;Hope;Solution;None;Policy;English;0;0;0;0
DWbAAoijFTa;Image;yes;0;0;1;1;1;1;0;0;0;0;Hope;Solution;Event;Climate;English;0;0;1;0
DWW4P-5CLtE;Video;yes;0;0;0;1;0;0;0;0;0;0;Hope;None;None;Community;English;0;1;1;0
DWUhj7VjtYE;Video;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Community;English;0;1;1;0
DRUGF9ajCli;Carousel;yes;0;1;1;1;0;1;1;0;1;0;Hope;Problem-Solution;Learn;Climate;English;0;0;1;0
DXceVTokb5e;Image;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
DUxWaDAiHXN;Image;yes;0;0;0;1;0;1;1;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DXbU3-0DCwx;Image;yes;0;0;0;1;0;1;0;0;0;0;Hope;Problem-Solution;None;Climate;English;1;1;1;0
DXuf7d6EZeD;Carousel;yes;0;0;1;1;0;0;0;1;0;0;Hope;Solution;None;Wildlife;English;0;0;0;0
DVAe29YCKEl;Image;yes;0;1;1;1;0;1;0;0;0;0;Mixed;Problem-Solution;None;Wildlife;English;0;1;1;0
DXhn93Tjbxw;Image;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Wildlife;English;0;1;0;0
DXgfcC4CBh-;Carousel;yes;0;0;0;0;0;0;1;0;0;0;Hope;None;None;Ecotourism;English;0;1;0;0
DUx-o2qCL2l;Image;yes;0;0;1;1;0;0;1;0;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
DXmxhmVDVZm;Image;yes;0;0;0;0;0;0;0;1;0;0;Hope;Solution;Learn;Research;English;0;0;0;0
DVGf_p2iJ72;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;0;0;0
DXqj3iSiA-v;Carousel;yes;0;0;0;0;0;0;0;0;1;0;Neutral;Solution;None;Education;English;0;1;0;0
DXivehMRBFx;Video;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DVvS2FYjO4c;Carousel;yes;0;0;1;0;0;0;1;0;0;0;Hope;Problem-Solution;Learn;Community;English;0;1;0;0
DXhEfFxiKkR;Carousel;yes;0;0;1;0;0;0;0;0;0;0;Neutral;None;None;Policy;English;0;1;1;0
DU2f6MXjhAG;Image;yes;0;0;1;0;0;0;0;0;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
DUh5k2lAUk4;Carousel;yes;0;1;1;0;0;0;0;1;0;0;Hope;Problem-Solution;None;Research;English;0;0;0;0
DVIyH5WjD2M;Video;yes;0;0;1;0;0;0;0;0;0;0;Hope;None;Learn;Community;English;;;;
DXtx6MkCJiI;Image;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Community;English;0;1;1;0
DVYvpYOjOdh;Image;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;Learn;Community;English;0;0;1;0
DV8qrmUDGoW;Carousel;yes;0;0;0;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;1;0;0
DVa3opXjgA4;Image;yes;0;1;1;1;0;1;0;0;0;0;Hope;Problem-Solution;None;Wildlife;English;0;1;0;0
DVF8oQhjpcp;Carousel;yes;0;0;1;0;0;0;0;1;0;0;Neutral;Problem-Solution;None;Wildlife;English;0;1;0;0
DUP4CreEVt1;Video;yes;1;0;0;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;1;0;0
DWny2u3DoHP;Image;yes;0;0;1;0;0;0;1;1;0;0;Hope;Solution;Learn;Wildlife;English;0;1;0;0
DWBK6wwjrgc;Image;yes;0;0;1;0;0;0;0;0;0;0;Hope;Problem-Solution;None;Anti-poaching;English;0;1;0;0
