idx;stance;source
1;disputing;both_agree
2;disputing;llm_tiebreak
3;questioning;both_agree
4;noncodeable;both_agree
5;questioning;both_agree
6;disputing;both_agree
7;disputing;both_agree
8;disputing;both_agree
9;questioning;llm_tiebreak
10;noncodeable;llm_tiebreak
11;disputing;llm_tiebreak
12;disputing;both_agree
13;disputing;both_agree
14;disputing;both_agree
15;disputing;both_agree
16;disputing;both_agree
17;disputing;both_agree
18;disputing;llm_tiebreak
19;noncodeable;both_agree
20;disputing;both_agree
21;disputing;both_agree
22;other;both_agree
23;other;llm_tiebreak
24;qualifying;llm_tiebreak
25;disputing;both_agree
26;other;llm_tiebreak
27;other;both_agree
28;disputing;both_agree
29;disputing;both_agree
30;disputing;both_agree
31;disputing;llm_tiebreak
32;disputing;both_agree
33;disputing;both_agree
34;supporting;llm_tiebreak
35;disputing;llm_tiebreak
36;questioning;both_agree
37;noncodeable;both_agree
38;disputing;both_agree
39;noncodeable;both_agree
40;other;both_agree
41;qualifying;llm_tiebreak
42;disputing;both_agree
43;other;both_agree
44;qualifying;llm_tiebreak
45;qualifying;llm_tiebreak
46;qualifying;llm_tiebreak
47;disputing;llm_tiebreak
48;disputing;both_agree
49;disputing;both_agree
50;disputing;both_agree
51;disputing;both_agree
52;noncodeable;both_agree
53;questioning;llm_tiebreak
54;supporting;both_agree
55;qualifying;llm_tiebreak
56;other;llm_tiebreak
57;disputing;both_agree
58;questioning;llm_tiebreak
59;disputing;both_agree
60;noncodeable;llm_tiebreak
61;disputing;both_agree
62;disputing;llm_tiebreak
63;noncodeable;both_agree
64;disputing;both_agree
65;disputing;both_agree
66;questioning;both_agree
67;other;llm_tiebreak
68;disputing;both_agree
69;noncodeable;both_agree
70;other;both_agree
71;qualifying;llm_tiebreak
